time,open,high,low,close
1642982400,0.0488323,0.0488323,0.0479973,0.0480243
1642986000,0.0480343,0.0484434,0.0478339,0.0479293
1642989600,0.0479436,0.0479519,0.0473178,0.0474269
1642993200,0.0474263,0.0475545,0.0472674,0.0473652
1642996800,0.0473638,0.0475545,0.0467782,0.0468536
1643000400,0.0468444,0.0468535,0.0458821,0.0461055
1643004000,0.04611,0.0461296,0.0456812,0.0459015
1643007600,0.0458869,0.0459211,0.0447664,0.0449107
1643011200,0.0448828,0.0453117,0.044341,0.0452709
1643014800,0.0454025,0.0458644,0.044908,0.044923
1643018400,0.0449574,0.0450493,0.0427677,0.0428335
1643022000,0.0428591,0.0437346,0.0418761,0.0429745
1643025600,0.0429843,0.043023,0.0419435,0.0423003
1643029200,0.0422694,0.0426851,0.0418885,0.0418908
1643032800,0.0418465,0.042075,0.04139,0.0417968
1643036400,0.0417798,0.0440308,0.0414759,0.0425689
1643040000,0.042511,0.0426573,0.0418054,0.0421354
1643043600,0.042168,0.0429976,0.0416353,0.0428616
1643047200,0.0428293,0.0435792,0.0425657,0.0433016
1643050800,0.0433349,0.0435319,0.0430026,0.0432416
1643054400,0.043236,0.0438946,0.0431706,0.0437496
1643058000,0.0437232,0.0442755,0.0434024,0.043977
1643061600,0.0439554,0.0440785,0.0437762,0.0439753
1643065200,0.0439746,0.0440401,0.0436437,0.0436506
1643068800,0.043655,0.0438931,0.0432106,0.0432723
1643072400,0.0432619,0.0435357,0.0429185,0.0430219
1643076000,0.0430784,0.0433625,0.0429527,0.0432748
1643079600,0.0432896,0.0434016,0.0430997,0.0433363
1643083200,0.043337,0.0435178,0.0429894,0.043057
1643086800,0.0430689,0.0433373,0.0429695,0.0431453
1643090400,0.0431542,0.043299,0.0426408,0.0430505
1643094000,0.043071,0.0431522,0.0427076,0.0429464
1643097600,0.0429458,0.0435513,0.0429204,0.0434229
1643101200,0.0434279,0.0441936,0.0432866,0.044097
1643104800,0.0441235,0.0446112,0.0440152,0.0441944
1643108400,0.0441944,0.044478,0.0439046,0.044073
1643112000,0.0440733,0.0447714,0.0438468,0.0443426
1643115600,0.0443472,0.0445828,0.0440749,0.0443057
1643119200,0.044302,0.0449943,0.0441992,0.0443398
1643122800,0.0443173,0.0446954,0.043683,0.0444164
1643126400,0.0443798,0.0449783,0.044366,0.0448643
1643130000,0.0448269,0.0453011,0.044767,0.0452618
1643133600,0.0452837,0.0455406,0.0451343,0.0454795
1643137200,0.0454834,0.0458301,0.0452301,0.0454831
1643140800,0.0454799,0.0454919,0.0447559,0.0450493
1643144400,0.0450538,0.0451599,0.044533,0.0445753
1643148000,0.0445757,0.0451506,0.0443266,0.0449187
1643151600,0.0449905,0.045813,0.0449135,0.0455409
1643155200,0.0455709,0.0461036,0.045457,0.0458722
1643158800,0.0458872,0.0463017,0.0458193,0.0461222
1643162400,0.0461068,0.0463198,0.0459695,0.0460325
1643166000,0.0460077,0.0464689,0.0459756,0.0463868
1643169600,0.0463915,0.046861,0.0462562,0.0468263
1643173200,0.0468277,0.0473,0.0465635,0.04726
1643176800,0.0472623,0.0473518,0.0470038,0.0471732
1643180400,0.0471567,0.0474759,0.0470144,0.0474615
1643184000,0.0474567,0.0478062,0.0472945,0.0476307
1643187600,0.0476256,0.0491326,0.0475082,0.0488292
1643191200,0.0488158,0.0493855,0.0487372,0.0492382
1643194800,0.0492382,0.049575,0.0489291,0.0493438
1643198400,0.0493579,0.0507048,0.0492756,0.0496703
1643202000,0.049671,0.050031,0.0495503,0.0499649
1643205600,0.0499607,0.0506037,0.0495964,0.0500512
1643209200,0.0500395,0.0504565,0.0496209,0.0498834
1643212800,0.049908,0.0502928,0.0497178,0.0500555
1643216400,0.0500555,0.0503048,0.0498306,0.0498761
1643220000,0.0498685,0.0502127,0.0488279,0.0495544
1643223600,0.049541,0.0523892,0.0494493,0.0507568
1643227200,0.0507868,0.0507869,0.048796,0.0492238
1643230800,0.0492181,0.0495062,0.0484973,0.0487789
1643234400,0.048789,0.0492119,0.0485183,0.0491153
1643238000,0.0491277,0.049918,0.0490399,0.0495946
1643241600,0.0496101,0.0498986,0.0494871,0.0496151
1643245200,0.0496208,0.0507845,0.049146,0.0500832
1643248800,0.0501287,0.0502068,0.0497811,0.050124
1643252400,0.0501331,0.0502835,0.0494999,0.0497168
1643256000,0.049717,0.0497679,0.0485631,0.049253
1643259600,0.0491774,0.049563,0.0490762,0.0492961
1643263200,0.0493057,0.0493342,0.0485207,0.0491318
1643266800,0.0491637,0.0492555,0.0489365,0.0491563
1643270400,0.0491571,0.049582,0.0490168,0.0495298
1643274000,0.0495359,0.0500968,0.0494909,0.0499075
1643277600,0.0499503,0.0500772,0.0496499,0.0497923
1643281200,0.049809,0.0501401,0.0496832,0.0500315
1643284800,0.0500315,0.0506105,0.0499457,0.050487
1643288400,0.0504942,0.0513991,0.0504142,0.0513373
1643292000,0.0513307,0.0525439,0.0512884,0.052222
1643295600,0.0522272,0.0525703,0.0517473,0.0519879
1643299200,0.052024,0.0520727,0.051564,0.051811
1643302800,0.0518095,0.0521698,0.0512368,0.0515844
1643306400,0.0515887,0.05162,0.0510631,0.0511554
1643310000,0.0511099,0.0512579,0.0495348,0.0496556
1643313600,0.0497202,0.0499727,0.0491362,0.049225
1643317200,0.0491701,0.0492585,0.0482153,0.0488546
1643320800,0.0488535,0.0500218,0.0483694,0.0499369
1643324400,0.0499649,0.0505029,0.0498678,0.0504441
1643328000,0.050443,0.052,0.0498,0.050595
1643331600,0.0506114,0.06476,0.0503447,0.0504195
1643335200,0.0504275,0.0505232,0.050205,0.0504129
1643338800,0.0504066,0.0509619,0.0503618,0.0508655
1643342400,0.0508748,0.0510771,0.0505982,0.0507041
1643346000,0.0507046,0.0508585,0.0505669,0.0507258
1643349600,0.0507163,0.0509678,0.0503313,0.0504143
1643353200,0.0504465,0.05317,0.05006,0.050185
1643356800,0.0501387,0.05196,0.0494121,0.0496074
1643360400,0.0496123,0.0497184,0.0490888,0.0491364
1643364000,0.049141,0.05322,0.0489545,0.0491581
1643367600,0.0492032,0.0493697,0.0487389,0.048887
1643371200,0.0488937,0.05255,0.0482912,0.0484422
1643374800,0.0484601,0.04921,0.04796,0.0488513
1643378400,0.0488341,0.05002,0.0484814,0.0486807
1643382000,0.0486602,0.04893,0.0483605,0.0488026
1643385600,0.0487947,0.0493795,0.0487517,0.0488422
1643389200,0.0488429,0.05,0.0484588,0.0485537
1643392800,0.0485392,0.0486887,0.0484471,0.0485173
1643396400,0.0485091,0.048606,0.0477964,0.0484118
1643400000,0.0484419,0.0487308,0.0483434,0.0486829
1643403600,0.0486945,0.0494865,0.0486037,0.0493567
1643407200,0.0493741,0.0501,0.0490886,0.0492888
1643410800,0.04927,0.0495267,0.0492145,0.0493012
1643414400,0.0493016,0.0497742,0.0492729,0.0494939
1643418000,0.0495088,0.0496274,0.0493395,0.0493799
1643421600,0.0493682,0.0494816,0.049083,0.0491987
1643425200,0.0491989,0.049373,0.0491183,0.0492664
1643428800,0.0492565,0.0494849,0.0491807,0.0493545
1643432400,0.0493599,0.0494357,0.0491427,0.0493389
1643436000,0.0493356,0.0494893,0.04925,0.0493361
1643439600,0.0493361,0.0497335,0.04888,0.0497327
1643443200,0.0497336,0.05008,0.04948,0.0496555
1643446800,0.0496443,0.05051,0.04897,0.0496718
1643450400,0.0496811,0.05048,0.0495003,0.0497766
1643454000,0.0497725,0.0498098,0.049467,0.0495912
1643457600,0.0495796,0.0497532,0.04915,0.0496966
1643461200,0.0496966,0.0501213,0.0494749,0.0500166
1643464800,0.0500237,0.0502738,0.0492895,0.04938
1643468400,0.0495986,0.0496788,0.0485456,0.0486892
1643472000,0.0486792,0.04917,0.0484959,0.0487627
1643475600,0.0487686,0.0490799,0.0487073,0.0490148
1643479200,0.0489954,0.0490765,0.0484372,0.0487843
1643482800,0.0488094,0.0490149,0.0487443,0.0489039
1643486400,0.0489049,0.04965,0.048732,0.0490652
1643490000,0.0490651,0.04988,0.04879,0.0493733
1643493600,0.049355,0.04988,0.04887,0.0493637
1643497200,0.0493276,0.0493751,0.0490416,0.0492536
1643500800,0.0492795,0.04985,0.04852,0.0490964
1643504400,0.0491111,0.0493732,0.048779,0.0490456
1643508000,0.0490254,0.0490857,0.04874,0.0488005
1643511600,0.0487896,0.0491171,0.0487847,0.0490783
1643515200,0.0490783,0.049207,0.0489244,0.0490542
